cod;nome;período;valor
4;S;1996;1
2;NE;1996;1
3;SE;1996;1556
1;N;1996;2
5;CO;1996;0
4;S;1997;1520
2;NE;1997;565
3;SE;1997;5255
1;N;1997;142
5;CO;1997;235
4;S;1998;2025
2;NE;1998;791
3;SE;1998;9056
1;N;1998;225
5;CO;1998;330
4;S;1999;2281
2;NE;1999;979
3;SE;1999;10511
1;N;1999;309
5;CO;1999;568
4;S;2000;2750
2;NE;2000;1082
3;SE;2000;11335
1;N;2000;365
5;CO;2000;928
4;S;2001;3131
2;NE;2001;1182
3;SE;2001;11502
1;N;2001;449
5;CO;2001;934
4;S;2002;3442
2;NE;2002;1108
3;SE;2002;11286
1;N;2002;478
5;CO;2002;1008
4;S;2003;3720
2;NE;2003;1155
3;SE;2003;11275
1;N;2003;435
5;CO;2003;930
4;S;2004;3871
2;NE;2004;958
3;SE;2004;9555
1;N;2004;444
5;CO;2004;991
4;S;2005;3931
2;NE;2005;1113
3;SE;2005;8025
1;N;2005;454
5;CO;2005;899
4;S;2006;4222
2;NE;2006;1111
3;SE;2006;7846
1;N;2006;453
5;CO;2006;879
4;S;2007;4244
2;NE;2007;1105
3;SE;2007;6473
1;N;2007;388
5;CO;2007;939
4;S;2008;4698
2;NE;2008;1319
3;SE;2008;6079
1;N;2008;426
5;CO;2008;947
4;S;2009;4892
2;NE;2009;1253
3;SE;2009;6062
1;N;2009;445
5;CO;2009;955
4;S;2010;4604
2;NE;2010;1250
3;SE;2010;5549
1;N;2010;538
5;CO;2010;889
4;S;2011;4471
2;NE;2011;1381
3;SE;2011;5389
1;N;2011;551
5;CO;2011;927
4;S;2012;4578
2;NE;2012;1390
3;SE;2012;5668
1;N;2012;583
5;CO;2012;1008
4;S;2013;4280
2;NE;2013;1434
3;SE;2013;5444
1;N;2013;648
5;CO;2013;1061
4;S;2014;4626
2;NE;2014;1633
3;SE;2014;5490
1;N;2014;572
5;CO;2014;1175
4;S;2015;4734
2;NE;2015;1554
3;SE;2015;4824
1;N;2015;596
5;CO;2015;1147
4;S;2016;4997
2;NE;2016;1723
3;SE;2016;4847
1;N;2016;655
5;CO;2016;1132
1;N;2017;797
2;NE;2017;1873
3;SE;2017;4726
4;S;2017;4750
5;CO;2017;1041
1;N;2018;702
2;NE;2018;1765
3;SE;2018;3969
4;S;2018;3978
5;CO;2018;954
1;N;2019;635
2;NE;2019;1343
3;SE;2019;2966
4;S;2019;3266
5;CO;2019;808
