cod;nome;período;valor
11;RO;1989;1325
12;AC;1989;247
13;AM;1989;977
14;RR;1989;268
15;PA;1989;1947
16;AP;1989;132
17;TO;1989;264
21;MA;1989;1252
22;PI;1989;722
23;CE;1989;1927
24;RN;1989;893
25;PB;1989;1302
26;PE;1989;5488
27;AL;1989;1712
28;SE;1989;762
29;BA;1989;4963
31;MG;1989;8291
32;ES;1989;2046
33;RJ;1989;17260
35;SP;1989;27381
41;PR;1989;5724
42;SC;1989;3106
43;RS;1989;6609
50;MS;1989;1517
51;MT;1989;1655
52;GO;1989;3229
53;DF;1989;1253
11;RO;1990;1327
12;AC;1990;177
13;AM;1990;966
14;RR;1990;259
15;PA;1990;2041
16;AP;1990;165
17;TO;1990;168
21;MA;1990;1257
22;PI;1990;534
23;CE;1990;2017
24;RN;1990;831
25;PB;1990;1258
26;PE;1990;5568
27;AL;1990;1762
28;SE;1990;810
29;BA;1990;4289
31;MG;1990;8324
32;ES;1990;2222
33;RJ;1990;16988
35;SP;1990;27574
41;PR;1990;5957
42;SC;1990;3077
43;RS;1990;6508
50;MS;1990;1412
51;MT;1990;1461
52;GO;1990;2287
53;DF;1990;1417
11;RO;1991;1136
12;AC;1991;273
13;AM;1991;1012
14;RR;1991;237
15;PA;1991;2114
16;AP;1991;197
17;TO;1991;284
21;MA;1991;1324
22;PI;1991;510
23;CE;1991;2107
24;RN;1991;1025
25;PB;1991;1301
26;PE;1991;5605
27;AL;1991;1576
28;SE;1991;944
29;BA;1991;5063
31;MG;1991;8214
32;ES;1991;2331
33;RJ;1991;16156
35;SP;1991;27733
41;PR;1991;5978
42;SC;1991;2992
43;RS;1991;6557
50;MS;1991;1456
51;MT;1991;1501
52;GO;1991;2940
53;DF;1991;1457
11;RO;1992;1044
12;AC;1992;307
13;AM;1992;945
14;RR;1992;216
15;PA;1992;2033
16;AP;1992;206
17;TO;1992;316
21;MA;1992;1289
22;PI;1992;626
23;CE;1992;2083
24;RN;1992;921
25;PB;1992;1125
26;PE;1992;5070
27;AL;1992;1496
28;SE;1992;1305
29;BA;1992;4866
31;MG;1992;8128
32;ES;1992;2009
33;RJ;1992;16163
35;SP;1992;26237
41;PR;1992;6029
42;SC;1992;2969
43;RS;1992;6393
50;MS;1992;1490
51;MT;1992;1530
52;GO;1992;2948
53;DF;1992;1386
11;RO;1993;1218
12;AC;1993;289
13;AM;1993;935
14;RR;1993;186
15;PA;1993;1951
16;AP;1993;234
17;TO;1993;380
21;MA;1993;1285
22;PI;1993;667
23;CE;1993;2404
24;RN;1993;980
25;PB;1993;1177
26;PE;1993;5421
27;AL;1993;1444
28;SE;1993;895
29;BA;1993;5002
31;MG;1993;8647
32;ES;1993;2511
33;RJ;1993;16719
35;SP;1993;27458
41;PR;1993;6314
42;SC;1993;3248
43;RS;1993;6463
50;MS;1993;1585
51;MT;1993;1639
52;GO;1993;3118
53;DF;1993;1581
11;RO;1994;1127
12;AC;1994;310
13;AM;1994;1109
14;RR;1994;226
15;PA;1994;1925
16;AP;1994;318
17;TO;1994;404
21;MA;1994;1052
22;PI;1994;645
23;CE;1994;2426
24;RN;1994;1056
25;PB;1994;1294
26;PE;1994;5307
27;AL;1994;1549
28;SE;1994;1175
29;BA;1994;5403
31;MG;1994;8739
32;ES;1994;2588
33;RJ;1994;17663
35;SP;1994;27746
41;PR;1994;6752
42;SC;1994;3319
43;RS;1994;6616
50;MS;1994;1744
51;MT;1994;1656
52;GO;1994;3479
53;DF;1994;1664
11;RO;1995;1215
12;AC;1995;315
13;AM;1995;1211
14;RR;1995;235
15;PA;1995;2000
16;AP;1995;300
17;TO;1995;419
21;MA;1995;1276
22;PI;1995;673
23;CE;1995;3054
24;RN;1995;1217
25;PB;1995;1642
26;PE;1995;5672
27;AL;1995;1638
28;SE;1995;1222
29;BA;1995;5188
31;MG;1995;9462
32;ES;1995;2591
33;RJ;1995;17841
35;SP;1995;31106
41;PR;1995;6918
42;SC;1995;3662
43;RS;1995;6858
50;MS;1995;1884
51;MT;1995;1860
52;GO;1995;3652
53;DF;1995;1777
11;RO;1996;1068
12;AC;1996;310
13;AM;1996;1199
14;RR;1996;268
15;PA;1996;2150
16;AP;1996;347
17;TO;1996;509
21;MA;1996;1384
22;PI;1996;665
23;CE;1996;3469
24;RN;1996;1343
25;PB;1996;1523
26;PE;1996;6235
27;AL;1996;1669
28;SE;1996;1176
29;BA;1996;5918
31;MG;1996;10026
32;ES;1996;2785
33;RJ;1996;17208
35;SP;1996;33137
41;PR;1996;7126
42;SC;1996;3811
43;RS;1996;6812
50;MS;1996;2002
51;MT;1996;1882
52;GO;1996;3397
53;DF;1996;1737
11;RO;1997;1050
12;AC;1997;342
13;AM;1997;1240
14;RR;1997;273
15;PA;1997;2363
16;AP;1997;298
17;TO;1997;520
21;MA;1997;1531
22;PI;1997;679
23;CE;1997;3591
24;RN;1997;1386
25;PB;1997;1387
26;PE;1997;6940
27;AL;1997;1671
28;SE;1997;1000
29;BA;1997;6189
31;MG;1997;10139
32;ES;1997;2884
33;RJ;1997;16399
35;SP;1997;32781
41;PR;1997;6990
42;SC;1997;3724
43;RS;1997;6889
50;MS;1997;1974
51;MT;1997;1956
52;GO;1997;3740
53;DF;1997;1614
11;RO;1998;1221
12;AC;1998;331
13;AM;1998;1299
14;RR;1998;334
15;PA;1998;2494
16;AP;1998;334
17;TO;1998;617
21;MA;1998;1709
22;PI;1998;737
23;CE;1998;3168
24;RN;1998;1272
25;PB;1998;1376
26;PE;1998;7461
27;AL;1998;1665
28;SE;1998;1079
29;BA;1998;6339
31;MG;1998;9835
32;ES;1998;3172
33;RJ;1998;15810
35;SP;1998;32134
41;PR;1998;6772
42;SC;1998;3190
43;RS;1998;6484
50;MS;1998;1656
51;MT;1998;2053
52;GO;1998;3563
53;DF;1998;1585
11;RO;1999;1104
12;AC;1999;246
13;AM;1999;1233
14;RR;1999;397
15;PA;1999;2322
16;AP;1999;345
17;TO;1999;579
21;MA;1999;1341
22;PI;1999;735
23;CE;1999;3765
24;RN;1999;1311
25;PB;1999;1280
26;PE;1999;7200
27;AL;1999;1479
28;SE;1999;1132
29;BA;1999;6141
31;MG;1999;8790
32;ES;1999;2870
33;RJ;1999;15206
35;SP;1999;34108
41;PR;1999;6628
42;SC;1999;3266
43;RS;1999;6422
50;MS;1999;1621
51;MT;1999;2075
52;GO;1999;3716
53;DF;1999;1582
11;RO;2000;1221
12;AC;2000;302
13;AM;2000;1352
14;RR;2000;348
15;PA;2000;2233
16;AP;2000;339
17;TO;2000;657
21;MA;2000;1611
22;PI;2000;1035
23;CE;2000;3941
24;RN;2000;1530
25;PB;2000;1391
26;PE;2000;7448
27;AL;2000;1671
28;SE;2000;1181
29;BA;2000;6299
31;MG;2000;8202
32;ES;2000;2936
33;RJ;2000;14858
35;SP;2000;33896
41;PR;2000;6812
42;SC;2000;3312
43;RS;2000;6555
50;MS;2000;1645
51;MT;2000;2376
52;GO;2000;3650
53;DF;2000;1596
11;RO;2001;1358
12;AC;2001;321
13;AM;2001;1255
14;RR;2001;328
15;PA;2001;2632
16;AP;2001;389
17;TO;2001;709
21;MA;2001;1832
22;PI;2001;1102
23;CE;2001;4073
24;RN;2001;1452
25;PB;2001;1242
26;PE;2001;7614
27;AL;2001;1781
28;SE;2001;1249
29;BA;2001;6506
31;MG;2001;8876
32;ES;2001;2972
33;RJ;2001;15024
35;SP;2001;34009
41;PR;2001;6950
42;SC;2001;3394
43;RS;2001;6602
50;MS;2001;1653
51;MT;2001;2338
52;GO;2001;3723
53;DF;2001;1570
11;RO;2002;1490
12;AC;2002;407
13;AM;2002;1349
14;RR;2002;344
15;PA;2002;3047
16;AP;2002;429
17;TO;2002;720
21;MA;2002;2030
22;PI;2002;1198
23;CE;2002;4480
24;RN;2002;1509
25;PB;2002;1732
26;PE;2002;7472
27;AL;2002;1986
28;SE;2002;1305
29;BA;2002;7260
31;MG;2002;9598
32;ES;2002;3228
33;RJ;2002;16078
35;SP;2002;32958
41;PR;2002;7254
42;SC;2002;3688
43;RS;2002;6910
50;MS;2002;1846
51;MT;2002;2581
52;GO;2002;4081
53;DF;2002;1570
11;RO;2003;1410
12;AC;2003;360
13;AM;2003;1389
14;RR;2003;305
15;PA;2003;3223
16;AP;2003;411
17;TO;2003;770
21;MA;2003;2229
22;PI;2003;1273
23;CE;2003;4765
24;RN;2003;1508
25;PB;2003;1584
26;PE;2003;7451
27;AL;2003;2028
28;SE;2003;1230
29;BA;2003;7345
31;MG;2003;10806
32;ES;2003;3191
33;RJ;2003;15640
35;SP;2003;31395
41;PR;2003;7655
42;SC;2003;3764
43;RS;2003;6889
50;MS;2003;1853
51;MT;2003;2483
52;GO;2003;3977
53;DF;2003;1723
11;RO;2004;1414
12;AC;2004;287
13;AM;2004;1476
14;RR;2004;342
15;PA;2004;3367
16;AP;2004;403
17;TO;2004;832
21;MA;2004;2255
22;PI;2004;1354
23;CE;2004;4904
24;RN;2004;1621
25;PB;2004;1934
26;PE;2004;7407
27;AL;2004;2083
28;SE;2004;1312
29;BA;2004;7518
31;MG;2004;11445
32;ES;2004;3273
33;RJ;2004;14990
35;SP;2004;29492
41;PR;2004;8378
42;SC;2004;3890
43;RS;2004;7022
50;MS;2004;1957
51;MT;2004;2563
52;GO;2004;4310
53;DF;2004;1641
11;RO;2005;1408
12;AC;2005;337
13;AM;2005;1517
14;RR;2005;316
15;PA;2005;3926
16;AP;2005;429
17;TO;2005;782
21;MA;2005;2729
22;PI;2005;1406
23;CE;2005;5110
24;RN;2005;1680
25;PB;2005;1970
26;PE;2005;7607
27;AL;2005;2198
28;SE;2005;1304
29;BA;2005;7633
31;MG;2005;11671
32;ES;2005;3317
33;RJ;2005;15039
35;SP;2005;27523
41;PR;2005;8354
42;SC;2005;3951
43;RS;2005;6930
50;MS;2005;1945
51;MT;2005;2585
52;GO;2005;4344
53;DF;2005;1622
11;RO;2006;1377
12;AC;2006;375
13;AM;2006;1671
14;RR;2006;335
15;PA;2006;4277
16;AP;2006;439
17;TO;2006;833
21;MA;2006;2738
22;PI;2006;1717
23;CE;2006;5268
24;RN;2006;1730
25;PB;2006;2134
26;PE;2006;7799
27;AL;2006;2691
28;SE;2006;1372
29;BA;2006;8435
31;MG;2006;12183
32;ES;2006;3574
33;RJ;2006;14938
35;SP;2006;25013
41;PR;2006;8463
42;SC;2006;3852
43;RS;2006;6976
50;MS;2006;1955
51;MT;2006;2479
52;GO;2006;4128
53;DF;2006;1636
11;RO;2007;1112
12;AC;2007;357
13;AM;2007;1681
14;RR;2007;385
15;PA;2007;4385
16;AP;2007;406
17;TO;2007;946
21;MA;2007;3143
22;PI;2007;1654
23;CE;2007;5645
24;RN;2007;1934
25;PB;2007;2144
26;PE;2007;8148
27;AL;2007;2984
28;SE;2007;1339
29;BA;2007;9440
31;MG;2007;12415
32;ES;2007;3881
33;RJ;2007;15189
35;SP;2007;23241
41;PR;2007;8832
42;SC;2007;3952
43;RS;2007;7278
50;MS;2007;2006
51;MT;2007;2495
52;GO;2007;4294
53;DF;2007;1746
11;RO;2008;1306
12;AC;2008;355
13;AM;2008;1948
14;RR;2008;337
15;PA;2008;5232
16;AP;2008;429
17;TO;2008;954
21;MA;2008;3502
22;PI;2008;1789
23;CE;2008;5801
24;RN;2008;2084
25;PB;2008;2494
26;PE;2008;8157
27;AL;2008;2956
28;SE;2008;1457
29;BA;2008;10653
31;MG;2008;12187
32;ES;2008;3984
33;RJ;2008;14420
35;SP;2008;23837
41;PR;2008;9074
42;SC;2008;4132
43;RS;2008;7397
50;MS;2008;2004
51;MT;2008;2734
52;GO;2008;4865
53;DF;2008;1848
11;RO;2009;1436
12;AC;2009;387
13;AM;2009;1991
14;RR;2009;351
15;PA;2009;5200
16;AP;2009;421
17;TO;2009;1051
21;MA;2009;3585
22;PI;2009;1860
23;CE;2009;5849
24;RN;2009;2286
25;PB;2009;2731
26;PE;2009;7968
27;AL;2009;3060
28;SE;2009;1641
29;BA;2009;11493
31;MG;2009;12681
32;ES;2009;3930
33;RJ;2009;14184
35;SP;2009;24048
41;PR;2009;9286
42;SC;2009;4039
43;RS;2009;7358
50;MS;2009;2110
51;MT;2009;2912
52;GO;2009;4921
53;DF;2009;1918
11;RO;2010;1528
12;AC;2010;439
13;AM;2010;2263
14;RR;2010;372
15;PA;2010;6125
16;AP;2010;503
17;TO;2010;1185
21;MA;2010;3887
22;PI;2010;1975
23;CE;2010;7047
24;RN;2010;2162
25;PB;2010;2907
26;PE;2010;7646
27;AL;2010;3403
28;SE;2010;1781
29;BA;2010;12168
31;MG;2010;12931
32;ES;2010;3944
33;RJ;2010;13794
35;SP;2010;24151
41;PR;2010;9535
42;SC;2010;4115
43;RS;2010;7257
50;MS;2010;2120
51;MT;2010;2861
52;GO;2010;5279
53;DF;2010;1878
11;RO;2011;1397
12;AC;2011;488
13;AM;2011;2527
14;RR;2011;350
15;PA;2011;5744
16;AP;2011;488
17;TO;2011;1211
21;MA;2011;4135
22;PI;2011;2083
23;CE;2011;7420
24;RN;2011;2414
25;PB;2011;3093
26;PE;2011;7771
27;AL;2011;3572
28;SE;2011;1764
29;BA;2011;11968
31;MG;2011;14263
32;ES;2011;3804
33;RJ;2011;13765
35;SP;2011;24276
41;PR;2011;9376
42;SC;2011;4245
43;RS;2011;7167
50;MS;2011;2224
51;MT;2011;2815
52;GO;2011;5542
53;DF;2011;1940
11;RO;2012;1566
12;AC;2012;531
13;AM;2012;2678
14;RR;2012;419
15;PA;2012;6197
16;AP;2012;536
17;TO;2012;1236
21;MA;2012;4663
22;PI;2012;2314
23;CE;2012;8433
24;RN;2012;2544
25;PB;2012;3191
26;PE;2012;7483
27;AL;2012;3367
28;SE;2012;1955
29;BA;2012;13233
31;MG;2012;14237
32;ES;2012;3995
33;RJ;2012;13066
35;SP;2012;25041
41;PR;2012;9832
42;SC;2012;4285
43;RS;2012;7575
50;MS;2012;2187
51;MT;2012;3027
52;GO;2012;6371
53;DF;2012;2051
11;RO;2013;1406
12;AC;2013;522
13;AM;2013;2596
14;RR;2013;506
15;PA;2013;6487
16;AP;2013;545
17;TO;2013;1262
21;MA;2013;5026
22;PI;2013;2366
23;CE;2013;9081
24;RN;2013;2763
25;PB;2013;3269
26;PE;2013;7291
27;AL;2013;3514
28;SE;2013;2165
29;BA;2013;12545
31;MG;2013;14170
32;ES;2013;3894
33;RJ;2013;13525
35;SP;2013;24156
41;PR;2013;8935
42;SC;2013;4062
43;RS;2013;7766
50;MS;2013;2191
51;MT;2013;3177
52;GO;2013;6575
53;DF;2013;1888
11;RO;2014;1479
12;AC;2014;550
13;AM;2014;2721
14;RR;2014;435
15;PA;2014;6657
16;AP;2014;543
17;TO;2014;1319
21;MA;2014;5580
22;PI;2014;2619
23;CE;2014;9297
24;RN;2014;2978
25;PB;2014;3173
26;PE;2014;7480
27;AL;2014;3463
28;SE;2014;2167
29;BA;2014;13047
31;MG;2014;14845
32;ES;2014;3922
33;RJ;2014;14069
35;SP;2014;25095
41;PR;2014;8912
42;SC;2014;4447
43;RS;2014;7963
50;MS;2014;2224
51;MT;2014;3329
52;GO;2014;6728
53;DF;2014;1900
11;RO;2015;1508
12;AC;2015;507
13;AM;2015;2989
14;RR;2015;536
15;PA;2015;6850
16;AP;2015;554
17;TO;2015;1393
21;MA;2015;5382
22;PI;2015;2477
23;CE;2015;8824
24;RN;2015;2892
25;PB;2015;3246
26;PE;2015;8212
27;AL;2015;2986
28;SE;2015;2444
29;BA;2015;12751
31;MG;2015;14002
32;ES;2015;3639
33;RJ;2015;13263
35;SP;2015;23450
41;PR;2015;8723
42;SC;2015;4243
43;RS;2015;7895
50;MS;2015;1986
51;MT;2015;3065
52;GO;2015;6607
53;DF;2015;1712
11;RO;2016;1571
12;AC;2016;655
13;AM;2016;2821
14;RR;2016;474
15;PA;2016;7432
16;AP;2016;600
17;TO;2016;1525
21;MA;2016;5452
22;PI;2016;2584
23;CE;2016;8129
24;RN;2016;3180
25;PB;2016;3156
26;PE;2016;9114
27;AL;2016;3096
28;SE;2016;2483
29;BA;2016;13707
31;MG;2016;14032
32;ES;2016;3433
33;RJ;2016;14563
35;SP;2016;22526
41;PR;2016;9022
42;SC;2016;4334
43;RS;2016;8436
50;MS;2016;2105
51;MT;2016;3079
52;GO;2016;6579
53;DF;2016;1773
11;RO;2017;1458
12;AC;2017;820
13;AM;2017;3005
14;RR;2017;590
15;PA;2017;7714
16;AP;2017;634
17;TO;2017;1568
21;MA;2017;5076
22;PI;2017;2414
23;CE;2017;9807
24;RN;2017;3580
25;PB;2017;3095
26;PE;2017;9770
27;AL;2017;3133
28;SE;2017;2323
29;BA;2017;13785
31;MG;2017;14324
32;ES;2017;3782
33;RJ;2017;14634
35;SP;2017;22194
41;PR;2017;8603
42;SC;2017;4621
43;RS;2017;8643
50;MS;2017;2062
51;MT;2017;3021
52;GO;2017;6452
53;DF;2017;1549
11;RO;2018;1267
12;AC;2018;694
13;AM;2018;2906
14;RR;2018;704
15;PA;2018;7603
16;AP;2018;651
17;TO;2018;1465
21;MA;2018;4704
22;PI;2018;2568
23;CE;2018;9183
24;RN;2018;3149
25;PB;2018;2986
26;PE;2018;8724
27;AL;2018;2706
28;SE;2018;2127
29;BA;2018;13015
31;MG;2018;12869
32;ES;2018;3402
33;RJ;2018;14717
35;SP;2018;21801
41;PR;2018;8515
42;SC;2018;4286
43;RS;2018;7973
50;MS;2018;1987
51;MT;2018;2987
52;GO;2018;6153
53;DF;2018;1672
11;RO;2019;1314
12;AC;2019;625
13;AM;2019;3030
14;RR;2019;591
15;PA;2019;6487
16;AP;2019;631
17;TO;2019;1377
21;MA;2019;4514
22;PI;2019;2261
23;CE;2019;6826
24;RN;2019;2595
25;PB;2019;2666
26;PE;2019;8189
27;AL;2019;2383
28;SE;2019;1957
29;BA;2019;12893
31;MG;2019;13113
32;ES;2019;3302
33;RJ;2019;13969
35;SP;2019;21749
41;PR;2019;8388
42;SC;2019;4329
43;RS;2019;7612
50;MS;2019;1910
51;MT;2019;2784
52;GO;2019;5829
53;DF;2019;1476
