cod;nome;período;valor
12;AC;2019;6295.23
27;AL;2019;41277.45
16;AP;2019;14391.28
13;AM;2019;48766.83
29;BA;2019;316021.52
23;CE;2019;99362.49
53;DF;2019;49470.64
32;ES;2019;54817.15
52;GO;2019;118041.52
21;MA;2019;117707.93
51;MT;2019;50045.96
50;MS;2019;27730.5
31;MG;2019;297148.47
15;PA;2019;141418.53
25;PB;2019;43063.97
41;PR;2019;176012.18
26;PE;2019;88778.13
22;PI;2019;45553.32
33;RJ;2019;239946.27
24;RN;2019;50415.51
43;RS;2019;128427.47
11;RO;2019;18517.75
14;RR;2019;9350.88
42;SC;2019;84310.04
35;SP;2019;682836.92
28;SE;2019;40252.36
17;TO;2019;27692.03
