cod;nome;período;valor
12;AC;2019;10289.8
27;AL;2019;41376.4
16;AP;2019;12209.63
13;AM;2019;66590.81
29;BA;2019;365075.64
23;CE;2019;157219.91
53;DF;2019;49607.04
32;ES;2019;67464.17
52;GO;2019;98051.73
21;MA;2019;106647.71
51;MT;2019;39286.09
50;MS;2019;52437
31;MG;2019;286382.47
15;PA;2019;180499.43
25;PB;2019;38719
41;PR;2019;214784.26
26;PE;2019;135183.18
22;PI;2019;84906.66
33;RJ;2019;303886.35
24;RN;2019;51065.56
43;RS;2019;201528.4
11;RO;2019;24381.83
14;RR;2019;10424.47
42;SC;2019;92696.36
35;SP;2019;816904.49
28;SE;2019;58822.88
17;TO;2019;17379.67
