Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Brazil,BRA,2014,Coverage: Finished Primary School,2.0.cov.FPS,71.685815079118
Brazil,BRA,2012,Coverage: Finished Primary School,2.0.cov.FPS,68.7122441787544
Brazil,BRA,2000,Coverage: Finished Primary School,2.0.cov.FPS,56.6481645760536
Brazil,BRA,2014,HOI: Finished Primary School,2.0.hoi.FPS,65.1262935163356
Brazil,BRA,2012,HOI: Finished Primary School,2.0.hoi.FPS,61.6964064711914
Brazil,BRA,2000,HOI: Finished Primary School,2.0.hoi.FPS,45.8926977347461
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.11
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.86
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.57
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,6.69
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.47
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,10.72
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.9
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.7
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.4
Brazil,BRA,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.88
Brazil,BRA,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.5
Brazil,BRA,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.7
Brazil,BRA,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.87
Brazil,BRA,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.34
Brazil,BRA,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.04
Brazil,BRA,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,17
Brazil,BRA,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,16
Brazil,BRA,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,26.6
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,9.46
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,12.3
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,14.9
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,16.79
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.01
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,23.91
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.6
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.8
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,40.55
Brazil,BRA,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,9.6
Brazil,BRA,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,12.38
Brazil,BRA,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,16.03
Brazil,BRA,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.48
Brazil,BRA,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,22.31
Brazil,BRA,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.23
Brazil,BRA,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,27.43
Brazil,BRA,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,27.01
Brazil,BRA,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.76
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.08
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.86
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.49
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.42
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,4.65
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,8.27
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,16.3
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,15.8
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,30.6
Brazil,BRA,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.08
Brazil,BRA,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.83
Brazil,BRA,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.83
Brazil,BRA,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,9.55
Brazil,BRA,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,14.4
Brazil,BRA,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,25.5
Brazil,BRA,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16.9
Brazil,BRA,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16
Brazil,BRA,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,29.8
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.54
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.47
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.42
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.65
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,8.27
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,16.14
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,21.9
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36.6
Brazil,BRA,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.46
Brazil,BRA,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,5.81
Brazil,BRA,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,9.55
Brazil,BRA,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,14.4
Brazil,BRA,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,25.5
Brazil,BRA,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,16.64
Brazil,BRA,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,21.3
Brazil,BRA,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,34.3
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,12.17
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,15.65
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,18.03
