cod;nome;período;valor
1076;BRA;1989;2344
1076;BRA;1990;2588
1076;BRA;1991;2728
1076;BRA;1992;2399
1076;BRA;1993;2623
1076;BRA;1994;2840
1076;BRA;1995;3326
1076;BRA;1996;3683
1076;BRA;1997;3588
1076;BRA;1998;3504
1076;BRA;1999;3536
1076;BRA;2000;3744
1076;BRA;2001;3851
1076;BRA;2002;3868
1076;BRA;2003;3941
1076;BRA;2004;3831
1076;BRA;2005;3887
1076;BRA;2006;4030
1076;BRA;2007;3778
1076;BRA;2008;4029
1076;BRA;2009;4265
1076;BRA;2010;4477
1076;BRA;2011;4522
1076;BRA;2012;4729
1076;BRA;2013;4769
1076;BRA;2014;4836
1076;BRA;2015;4621
1076;BRA;2016;4645
1076;BRA;2017;4936
1076;BRA;2018;4519
1076;BRA;2019;3737
