,cod,State_ID,Year,State,Ratio Fem/Mal,Victim Group,Deaths,Population,"Deaths per 100,000"
0,23,CE,2000,Ceará,0.09372236958443855,Men,1131.0,7625504,14.83
1,23,CE,2000,Ceará,0.09372236958443855,Women,106.0,7625504,1.39
2,23,CE,2000,Ceará,0.09372236958443855,Men Afro,656.0,7625504,8.6
3,23,CE,2000,Ceará,0.09372236958443855,Women Afro,51.0,7625504,0.67
4,53,DF,2000,Distrito Federal,0.06366459627329192,Men,644.0,2089052,30.83
5,53,DF,2000,Distrito Federal,0.06366459627329192,Women,41.0,2089052,1.96
6,53,DF,2000,Distrito Federal,0.06366459627329192,Men Afro,533.0,2089052,25.51
7,53,DF,2000,Distrito Federal,0.06366459627329192,Women Afro,32.0,2089052,1.53
8,52,GO,2000,Goiás,0.15106382978723404,Men,940.0,5141392,18.28
9,52,GO,2000,Goiás,0.15106382978723404,Women,142.0,5141392,2.76
10,52,GO,2000,Goiás,0.15106382978723404,Men Afro,472.0,5141392,9.18
11,52,GO,2000,Goiás,0.15106382978723404,Women Afro,53.0,5141392,1.03
12,51,MT,2000,Mato Grosso,0.0891089108910891,Men,909.0,2570078,35.37
13,51,MT,2000,Mato Grosso,0.0891089108910891,Women,81.0,2570078,3.15
14,51,MT,2000,Mato Grosso,0.0891089108910891,Men Afro,561.0,2570078,21.83
15,51,MT,2000,Mato Grosso,0.0891089108910891,Women Afro,47.0,2570078,1.83
16,50,MS,2000,Mato Grosso do Sul,0.12478336221837089,Men,577.0,2132596,27.06
17,50,MS,2000,Mato Grosso do Sul,0.12478336221837089,Women,72.0,2132596,3.38
18,50,MS,2000,Mato Grosso do Sul,0.12478336221837089,Men Afro,273.0,2132596,12.8
19,50,MS,2000,Mato Grosso do Sul,0.12478336221837089,Women Afro,30.0,2132596,1.41
20,43,RS,2000,Rio Grande do Sul,0.11737089201877934,Men,1491.0,10374306,14.37
21,43,RS,2000,Rio Grande do Sul,0.11737089201877934,Women,175.0,10374306,1.69
22,43,RS,2000,Rio Grande do Sul,0.11737089201877934,Men Afro,250.0,10374306,2.41
23,43,RS,2000,Rio Grande do Sul,0.11737089201877934,Women Afro,22.0,10374306,0.21
24,42,SC,2000,Santa Catarina,0.1394736842105263,Men,380.0,5483651,6.93
25,42,SC,2000,Santa Catarina,0.1394736842105263,Women,53.0,5483651,0.97
26,42,SC,2000,Santa Catarina,0.1394736842105263,Men Afro,47.0,5483651,0.86
27,42,SC,2000,Santa Catarina,0.1394736842105263,Women Afro,9.0,5483651,0.16
28,41,PR,2000,Paraná,0.10104744300677758,Men,1623.0,9773439,16.61
29,41,PR,2000,Paraná,0.10104744300677758,Women,164.0,9773439,1.68
30,41,PR,2000,Paraná,0.10104744300677758,Men Afro,331.0,9773439,3.39
31,41,PR,2000,Paraná,0.10104744300677758,Women Afro,22.0,9773439,0.23
32,35,SP,2000,São Paulo,0.07963437435080672,Men,14441.0,37712838,38.29
33,35,SP,2000,São Paulo,0.07963437435080672,Women,1150.0,37712838,3.05
34,35,SP,2000,São Paulo,0.07963437435080672,Men Afro,6029.0,37712838,15.99
35,35,SP,2000,São Paulo,0.07963437435080672,Women Afro,378.0,37712838,1.0
36,33,RJ,2000,Rio de Janeiro,0.07947019867549669,Men,6795.0,14723882,46.15
37,33,RJ,2000,Rio de Janeiro,0.07947019867549669,Women,540.0,14723882,3.67
38,33,RJ,2000,Rio de Janeiro,0.07947019867549669,Men Afro,4003.0,14723882,27.19
39,33,RJ,2000,Rio de Janeiro,0.07947019867549669,Women Afro,265.0,14723882,1.8
40,32,ES,2000,Espírito Santo,0.08547655068078669,Men,1322.0,3173860,41.65
41,32,ES,2000,Espírito Santo,0.08547655068078669,Women,113.0,3173860,3.56
42,32,ES,2000,Espírito Santo,0.08547655068078669,Men Afro,624.0,3173860,19.66
43,32,ES,2000,Espírito Santo,0.08547655068078669,Women Afro,49.0,3173860,1.54
44,31,MG,2000,Minas Gerais,0.13570274636510501,Men,1857.0,18351529,10.12
45,31,MG,2000,Minas Gerais,0.13570274636510501,Women,252.0,18351529,1.37
46,31,MG,2000,Minas Gerais,0.13570274636510501,Men Afro,1126.0,18351529,6.14
47,31,MG,2000,Minas Gerais,0.13570274636510501,Women Afro,125.0,18351529,0.68
48,29,BA,2000,Bahia,0.11913357400722022,Men,1108.0,13387055,8.28
49,29,BA,2000,Bahia,0.11913357400722022,Women,132.0,13387055,0.99
50,29,BA,2000,Bahia,0.11913357400722022,Men Afro,802.0,13387055,5.99
51,29,BA,2000,Bahia,0.11913357400722022,Women Afro,90.0,13387055,0.67
52,28,SE,2000,Sergipe,0.09919571045576407,Men,373.0,1831212,20.37
53,28,SE,2000,Sergipe,0.09919571045576407,Women,37.0,1831212,2.02
54,28,SE,2000,Sergipe,0.09919571045576407,Men Afro,171.0,1831212,9.34
55,28,SE,2000,Sergipe,0.09919571045576407,Women Afro,15.0,1831212,0.82
56,27,AL,2000,Alagoas,0.09653092006033183,Men,663.0,2888225,22.96
57,27,AL,2000,Alagoas,0.09653092006033183,Women,64.0,2888225,2.22
58,27,AL,2000,Alagoas,0.09653092006033183,Men Afro,487.0,2888225,16.86
59,27,AL,2000,Alagoas,0.09653092006033183,Women Afro,46.0,2888225,1.59
60,26,PE,2000,Pernambuco,0.07788944723618091,Men,3980.0,8117165,49.03
61,26,PE,2000,Pernambuco,0.07788944723618091,Women,310.0,8117165,3.82
62,26,PE,2000,Pernambuco,0.07788944723618091,Men Afro,3003.0,8117165,37.0
63,26,PE,2000,Pernambuco,0.07788944723618091,Women Afro,202.0,8117165,2.49
64,25,PB,2000,Paraíba,0.09503239740820735,Men,463.0,3528864,13.12
65,25,PB,2000,Paraíba,0.09503239740820735,Women,44.0,3528864,1.25
66,25,PB,2000,Paraíba,0.09503239740820735,Men Afro,351.0,3528864,9.95
67,25,PB,2000,Paraíba,0.09503239740820735,Women Afro,32.0,3528864,0.91
68,24,RN,2000,Rio Grande do Norte,0.09361702127659574,Men,235.0,2853035,8.24
69,24,RN,2000,Rio Grande do Norte,0.09361702127659574,Women,22.0,2853035,0.77
70,24,RN,2000,Rio Grande do Norte,0.09361702127659574,Men Afro,161.0,2853035,5.64
71,24,RN,2000,Rio Grande do Norte,0.09361702127659574,Women Afro,10.0,2853035,0.35
72,22,PI,2000,Piauí,0.06542056074766354,Men,214.0,2922884,7.32
73,22,PI,2000,Piauí,0.06542056074766354,Women,14.0,2922884,0.48
74,22,PI,2000,Piauí,0.06542056074766354,Men Afro,138.0,2922884,4.72
75,22,PI,2000,Piauí,0.06542056074766354,Women Afro,8.0,2922884,0.27
76,21,MA,2000,Maranhão,0.1,Men,320.0,5835996,5.48
77,21,MA,2000,Maranhão,0.1,Women,32.0,5835996,0.55
78,21,MA,2000,Maranhão,0.1,Men Afro,230.0,5835996,3.94
79,21,MA,2000,Maranhão,0.1,Women Afro,24.0,5835996,0.41
80,17,TO,2000,Tocantins,0.1,Men,160.0,1190019,13.45
81,17,TO,2000,Tocantins,0.1,Women,16.0,1190019,1.34
82,17,TO,2000,Tocantins,0.1,Men Afro,103.0,1190019,8.66
83,17,TO,2000,Tocantins,0.1,Women Afro,10.0,1190019,0.84
84,16,AP,2000,Amapá,0.02631578947368421,Men,152.0,495193,30.7
85,16,AP,2000,Amapá,0.02631578947368421,Women,4.0,495193,0.81
86,16,AP,2000,Amapá,0.02631578947368421,Men Afro,124.0,495193,25.04
87,16,AP,2000,Amapá,0.02631578947368421,Women Afro,4.0,495193,0.81
88,15,PA,2000,Pará,0.0847913862718708,Men,743.0,6371212,11.66
89,15,PA,2000,Pará,0.0847913862718708,Women,63.0,6371212,0.99
90,15,PA,2000,Pará,0.0847913862718708,Men Afro,603.0,6371212,9.46
91,15,PA,2000,Pará,0.0847913862718708,Women Afro,55.0,6371212,0.86
