cod;nome;período;valor
1076;BRA;1996;335
1076;BRA;1997;10147
1076;BRA;1998;15247
1076;BRA;1999;18203
1076;BRA;2000;21895
1076;BRA;2001;23657
1076;BRA;2002;25246
1076;BRA;2003;26753
1076;BRA;2004;26191
1076;BRA;2005;26837
1076;BRA;2006;28131
1076;BRA;2007;28468
1076;BRA;2008;30436
1076;BRA;2009;31497
1076;BRA;2010;32855
1076;BRA;2011;32885
1076;BRA;2012;35825
1076;BRA;2013;36265
1076;BRA;2014;38938
1076;BRA;2015;38680
1076;BRA;2016;42354
1076;BRA;2017;46217
1076;BRA;2018;40789
1076;BRA;2019;31988
