cod;nome;período;valor
51;MT;1996;0
26;PE;1996;0
35;SP;1996;335
33;RJ;1996;0
11;RO;1996;0
31;MG;1996;0
42;SC;1996;0
53;DF;1996;0
28;SE;1996;0
43;RS;1996;0
29;BA;1996;0
25;PB;1996;0
27;AL;1996;0
21;MA;1996;0
17;TO;1996;0
16;AP;1996;0
50;MS;1996;0
13;AM;1996;0
23;CE;1996;0
32;ES;1996;0
14;RR;1996;0
41;PR;1996;0
52;GO;1996;0
15;PA;1996;0
24;RN;1996;0
12;AC;1996;0
22;PI;1996;0
22;PI;1997;76
29;BA;1997;120
12;AC;1997;3
26;PE;1997;586
42;SC;1997;10
17;TO;1997;29
13;AM;1997;353
24;RN;1997;118
21;MA;1997;170
51;MT;1997;212
43;RS;1997;232
31;MG;1997;519
35;SP;1997;2055
27;AL;1997;124
32;ES;1997;262
15;PA;1997;237
53;DF;1997;388
33;RJ;1997;3940
11;RO;1997;47
50;MS;1997;1
28;SE;1997;47
25;PB;1997;67
23;CE;1997;278
16;AP;1997;73
52;GO;1997;121
14;RR;1997;13
41;PR;1997;66
25;PB;1998;82
21;MA;1998;177
51;MT;1998;364
43;RS;1998;231
33;RJ;1998;3631
27;AL;1998;216
11;RO;1998;105
12;AC;1998;21
16;AP;1998;134
24;RN;1998;119
22;PI;1998;78
17;TO;1998;53
13;AM;1998;404
26;PE;1998;1106
29;BA;1998;248
41;PR;1998;232
14;RR;1998;91
23;CE;1998;305
28;SE;1998;79
53;DF;1998;415
15;PA;1998;472
32;ES;1998;328
31;MG;1998;700
42;SC;1998;34
52;GO;1998;180
50;MS;1998;8
35;SP;1998;5434
23;CE;1999;518
12;AC;1999;15
15;PA;1999;462
53;DF;1999;440
11;RO;1999;153
28;SE;1999;101
24;RN;1999;122
52;GO;1999;245
25;PB;1999;111
21;MA;1999;135
22;PI;1999;85
41;PR;1999;262
42;SC;1999;44
17;TO;1999;60
35;SP;1999;6182
51;MT;1999;387
26;PE;1999;2186
13;AM;1999;422
43;RS;1999;249
14;RR;1999;82
29;BA;1999;305
31;MG;1999;732
32;ES;1999;554
27;AL;1999;338
16;AP;1999;163
