,cod,State_ID,Year,Deaths,State,Population
0,11,RO,2000,1221,Rondônia,1409018
1,12,AC,2000,302,Acre,582172
2,13,AM,2000,1352,Amazonas,2868193
3,14,RR,2000,348,Roraima,333356
4,15,PA,2000,2233,Pará,6371212
5,16,AP,2000,339,Amapá,495193
6,17,TO,2000,657,Tocantins,1190019
7,21,MA,2000,1611,Maranhão,5835996
8,22,PI,2000,1035,Piauí,2922884
9,23,CE,2000,3941,Ceará,7625504
10,24,RN,2000,1530,Rio Grande do Norte,2853035
11,25,PB,2000,1391,Paraíba,3528864
12,26,PE,2000,7448,Pernambuco,8117165
13,27,AL,2000,1671,Alagoas,2888225
14,28,SE,2000,1181,Sergipe,1831212
15,29,BA,2000,6299,Bahia,13387055
16,31,MG,2000,8202,Minas Gerais,18351529
17,32,ES,2000,2936,Espírito Santo,3173860
18,33,RJ,2000,14858,Rio de Janeiro,14723882
19,35,SP,2000,33896,São Paulo,37712838
20,41,PR,2000,6812,Paraná,9773439
21,42,SC,2000,3312,Santa Catarina,5483651
22,43,RS,2000,6555,Rio Grande do Sul,10374306
23,50,MS,2000,1645,Mato Grosso do Sul,2132596
24,51,MT,2000,2376,Mato Grosso,2570078
25,52,GO,2000,3650,Goiás,5141392
26,53,DF,2000,1596,Distrito Federal,2089052
27,11,RO,2001,1358,Rondônia,1432779
28,12,AC,2001,321,Acre,600611
29,13,AM,2001,1255,Amazonas,2939965
30,14,RR,2001,328,Roraima,345858
31,15,PA,2001,2632,Pará,6517813
32,16,AP,2001,389,Amapá,515684
33,17,TO,2001,709,Tocantins,1213339
34,21,MA,2001,1832,Maranhão,5929149
35,22,PI,2001,1102,Piauí,2960502
36,23,CE,2001,4073,Ceará,7743048
37,24,RN,2001,1452,Rio Grande do Norte,2896569
38,25,PB,2001,1242,Paraíba,3567007
39,26,PE,2001,7614,Pernambuco,8218631
40,27,AL,2001,1781,Alagoas,2926756
41,28,SE,2001,1249,Sergipe,1862816
42,29,BA,2001,6506,Bahia,13511607
43,31,MG,2001,8876,Minas Gerais,18560709
44,32,ES,2001,2972,Espírito Santo,3221149
45,33,RJ,2001,15024,Rio de Janeiro,14908622
46,35,SP,2001,34009,São Paulo,38230286
47,41,PR,2001,6950,Paraná,9884374
48,42,SC,2001,3394,Santa Catarina,5577642
49,43,RS,2001,6602,Rio Grande do Sul,10457469
50,50,MS,2001,1653,Mato Grosso do Sul,2170330
51,51,MT,2001,2338,Mato Grosso,2624341
52,52,GO,2001,3723,Goiás,5245502
53,53,DF,2001,1570,Distrito Federal,2146088
54,11,RO,2002,1490,Rondônia,1454686
55,12,AC,2002,407,Acre,619261
56,13,AM,2002,1349,Amazonas,3008836
57,14,RR,2002,344,Roraima,358071
58,15,PA,2002,3047,Pará,6661752
59,16,AP,2002,429,Amapá,535914
60,17,TO,2002,720,Tocantins,1236238
61,21,MA,2002,2030,Maranhão,6015286
62,22,PI,2002,1198,Piauí,2994611
63,23,CE,2002,4480,Ceará,7854562
64,24,RN,2002,1509,Rio Grande do Norte,2937858
65,25,PB,2002,1732,Paraíba,3603237
66,26,PE,2002,7472,Pernambuco,8313498
67,27,AL,2002,1986,Alagoas,2963870
68,28,SE,2002,1305,Sergipe,1891853
69,29,BA,2002,7260,Bahia,13625227
70,31,MG,2002,9598,Minas Gerais,18750916
71,32,ES,2002,3228,Espírito Santo,3265905
72,33,RJ,2002,16078,Rio de Janeiro,15078818
73,35,SP,2002,32958,São Paulo,38714552
74,41,PR,2002,7254,Paraná,9985028
75,42,SC,2002,3688,Santa Catarina,5666538
76,43,RS,2002,6910,Rio Grande do Sul,10527301
77,50,MS,2002,1846,Mato Grosso do Sul,2206669
78,51,MT,2002,2581,Mato Grosso,2677427
79,52,GO,2002,4081,Goiás,5349219
80,53,DF,2002,1570,Distrito Federal,2202122
81,11,RO,2003,1410,Rondônia,1474963
82,12,AC,2003,360,Acre,637959
83,13,AM,2003,1389,Amazonas,3075835
84,14,RR,2003,305,Roraima,370356
85,15,PA,2003,3223,Pará,6804896
86,16,AP,2003,411,Amapá,556215
87,17,TO,2003,770,Tocantins,1259293
88,21,MA,2003,2229,Maranhão,6108981
89,22,PI,2003,1273,Piauí,3024270
90,23,CE,2003,4765,Ceará,7959511
91,24,RN,2003,1508,Rio Grande do Norte,2977895
92,25,PB,2003,1584,Paraíba,3637153
93,26,PE,2003,7451,Pernambuco,8405822
94,27,AL,2003,2028,Alagoas,2998911
95,28,SE,2003,1230,Sergipe,1920225
96,29,BA,2003,7345,Bahia,13733555
97,31,MG,2003,10806,Minas Gerais,18928892
98,32,ES,2003,3191,Espírito Santo,3309693
99,33,RJ,2003,15640,Rio de Janeiro,15241955
100,35,SP,2003,31395,São Paulo,39179618
101,41,PR,2003,7655,Paraná,10077766
102,42,SC,2003,3764,Santa Catarina,5753033
103,43,RS,2003,6889,Rio Grande do Sul,10588296
104,50,MS,2003,1853,Mato Grosso do Sul,2243357
105,51,MT,2003,2483,Mato Grosso,2730776
106,52,GO,2003,3977,Goiás,5451596
107,53,DF,2003,1723,Distrito Federal,2257522
108,11,RO,2004,1414,Rondônia,1494506
109,12,AC,2004,287,Acre,656312
110,13,AM,2004,1476,Amazonas,3140990
111,14,RR,2004,342,Roraima,383083
112,15,PA,2004,3367,Pará,6947242
113,16,AP,2004,403,Amapá,576205
114,17,TO,2004,832,Tocantins,1281932
115,21,MA,2004,2255,Maranhão,6204069
116,22,PI,2004,1354,Piauí,3052015
117,23,CE,2004,4904,Ceará,8058687
118,24,RN,2004,1621,Rio Grande do Norte,3016738
119,25,PB,2004,1934,Paraíba,3669400
120,26,PE,2004,7407,Pernambuco,8496236
121,27,AL,2004,2083,Alagoas,3031224
122,28,SE,2004,1312,Sergipe,1947959
123,29,BA,2004,7518,Bahia,13834245
124,31,MG,2004,11445,Minas Gerais,19097573
125,32,ES,2004,3273,Espírito Santo,3352781
126,33,RJ,2004,14990,Rio de Janeiro,15402965
127,35,SP,2004,29492,São Paulo,39639613
128,41,PR,2004,8378,Paraná,10164956
129,42,SC,2004,3890,Santa Catarina,5839860
130,43,RS,2004,7022,Rio Grande do Sul,10646733
131,50,MS,2004,1957,Mato Grosso do Sul,2280444
132,51,MT,2004,2563,Mato Grosso,2785242
133,52,GO,2004,4310,Goiás,5551621
134,53,DF,2004,1641,Distrito Federal,2312412
135,11,RO,2005,1408,Rondônia,1513687
136,12,AC,2005,337,Acre,674989
137,13,AM,2005,1517,Amazonas,3207750
138,14,RR,2005,316,Roraima,395424
139,15,PA,2005,3926,Pará,7087681
140,16,AP,2005,429,Amapá,595517
141,17,TO,2005,782,Tocantins,1304536
142,21,MA,2005,2729,Maranhão,6297463
143,22,PI,2005,1406,Piauí,3079931
144,23,CE,2005,5110,Ceará,8157557
145,24,RN,2005,1680,Rio Grande do Norte,3056025
146,25,PB,2005,1970,Paraíba,3701283
147,26,PE,2005,7607,Pernambuco,8584552
148,27,AL,2005,2198,Alagoas,3062006
149,28,SE,2005,1304,Sergipe,1975399
150,29,BA,2005,7633,Bahia,13926990
151,31,MG,2005,11671,Minas Gerais,19258641
152,32,ES,2005,3317,Espírito Santo,3394747
153,33,RJ,2005,15039,Rio de Janeiro,15558887
154,35,SP,2005,27523,São Paulo,40097923
155,41,PR,2005,8354,Paraná,10252353
156,42,SC,2005,3951,Santa Catarina,5927906
157,43,RS,2005,6930,Rio Grande do Sul,10703449
158,50,MS,2005,1945,Mato Grosso do Sul,2317444
159,51,MT,2005,2585,Mato Grosso,2841541
160,52,GO,2005,4344,Goiás,5650100
161,53,DF,2005,1622,Distrito Federal,2367362
162,11,RO,2006,1377,Rondônia,1532259
163,12,AC,2006,375,Acre,693719
164,13,AM,2006,1671,Amazonas,3276510
165,14,RR,2006,335,Roraima,407693
166,15,PA,2006,4277,Pará,7228687
167,16,AP,2006,439,Amapá,615079
168,17,TO,2006,833,Tocantins,1327543
169,21,MA,2006,2738,Maranhão,6389886
170,22,PI,2006,1717,Piauí,3106563
171,23,CE,2006,5268,Ceará,8255850
172,24,RN,2006,1730,Rio Grande do Norte,3094682
173,25,PB,2006,2134,Paraíba,3732327
174,26,PE,2006,7799,Pernambuco,8671636
175,27,AL,2006,2691,Alagoas,3091754
176,28,SE,2006,1372,Sergipe,2003252
177,29,BA,2006,8435,Bahia,14010419
178,31,MG,2006,12183,Minas Gerais,19411167
179,32,ES,2006,3574,Espírito Santo,3435356
180,33,RJ,2006,14938,Rio de Janeiro,15708629
181,35,SP,2006,25013,São Paulo,40543155
182,41,PR,2006,8463,Paraná,10337621
183,42,SC,2006,3852,Santa Catarina,6014601
184,43,RS,2006,6976,Rio Grande do Sul,10753011
185,50,MS,2006,1955,Mato Grosso do Sul,2353564
186,51,MT,2006,2479,Mato Grosso,2897305
187,52,GO,2006,4128,Goiás,5746698
188,53,DF,2006,1636,Distrito Federal,2422644
189,11,RO,2007,1112,Rondônia,1549747
190,12,AC,2007,357,Acre,712059
191,13,AM,2007,1681,Amazonas,3345514
192,14,RR,2007,385,Roraima,420331
193,15,PA,2007,4385,Pará,7367310
194,16,AP,2007,406,Amapá,634544
195,17,TO,2007,946,Tocantins,1349481
196,21,MA,2007,3143,Maranhão,6477394
197,22,PI,2007,1654,Piauí,3130768
198,23,CE,2007,5645,Ceará,8350441
199,24,RN,2007,1934,Rio Grande do Norte,3130943
200,25,PB,2007,2144,Paraíba,3760733
201,26,PE,2007,8148,Pernambuco,8754845
202,27,AL,2007,2984,Alagoas,3119271
203,28,SE,2007,1339,Sergipe,2030173
204,29,BA,2007,9440,Bahia,14086566
205,31,MG,2007,12415,Minas Gerais,19551338
206,32,ES,2007,3881,Espírito Santo,3474578
207,33,RJ,2007,15189,Rio de Janeiro,15854580
208,35,SP,2007,23241,São Paulo,40974276
